Country,ISO3,Confirmed,Deaths,Recovered
Afghanistan,AFG,8676,193,938
Albania,ALB,981,31,777
Algeria,DZA,7918,582,4256
Andorra,AND,762,51,652
Angola,AGO,60,3,17
Antigua and Barbuda,ATG,25,3,19
Argentina,ARG,10649,433,3062
Armenia,ARM,5928,74,2874
Australia,AUS,7095,101,6479
Austria,AUT,16436,635,15005
Azerbaijan,AZE,3855,46,2399
Bahamas,BHS,97,11,44
Bahrain,BHR,8414,12,4096
Bangladesh,BGD,28511,408,5602
Barbados,BRB,90,7,70
Belarus,BLR,34303,190,12833
Belgium,BEL,56511,9212,15123
Belize,BLZ,18,2,16
Benin,BEN,135,3,61
Bhutan,BTN,21,0,6
Bolivia,BOL,5187,215,561
Bosnia and Herzegovina,BIH,2372,141,1614
Botswana,BWA,30,1,19
Brazil,BRA,310087,20047,125960
Brunei,BRN,141,1,136
Bulgaria,BGR,2372,125,769
Burkina Faso,BFA,814,52,672
Burundi,BDI,42,1,20
Cambodia,KHM,123,0,122
Cameroon,CMR,4400,159,1822
Canada,CAN,83945,6359,42610
Central African Republic,CAF,479,0,18
Chad,TCD,611,58,196
Chile,CHL,61857,630,25342
China,CHN,84081,4638,79329
Colombia,COL,19131,682,4575
Comoros,COM,78,1,18
Costa Rica,CRI,911,10,600
Croatia,HRV,2243,99,2011
Cuba,CUB,1916,81,1631
Cyprus,CYP,927,17,561
Denmark,DNK,0,0,0
Djibouti,DJI,2270,10,1064
Dominica,DMA,16,0,16
Dominican Republic,DOM,13989,456,7572
Ecuador,ECU,35828,3056,3557
Egypt,EGY,15786,707,4374
El Salvador,SLV,1725,33,562
Equatorial Guinea,GNQ,960,11,165
Eritrea,ERI,39,0,39
Estonia,EST,1807,64,1508
Ethiopia,ETH,433,5,128
Fiji,FJI,18,0,15
Finland,FIN,6537,306,4800
France,FRA,182002,28218,63976
Gabon,GAB,1728,12,402
Georgia,GEO,0,0,0
Germany,DEU,179710,8228,159064
Ghana,GHA,6486,31,1951
Greece,GRC,2874,169,1374
Grenada,GRD,22,0,17
Guatemala,GTM,2512,48,222
Guinea,GIN,3067,19,1575
Guinea-Bissau,GNB,1114,6,42
Guyana,GUY,127,10,57
Haiti,HTI,734,25,21
Honduras,HND,3204,156,397
Hungary,HUN,3678,476,1587
Iceland,ISL,1803,10,1791
India,IND,124794,3726,51824
Indonesia,IDN,20796,1326,5057
Iran,IRN,131652,7300,102276
Iraq,IRQ,3964,147,2532
Ireland,IRL,24506,1592,21060
Israel,ISR,16690,279,13915
Italy,ITA,228658,32616,136720
Jamaica,JAM,534,9,181
Japan,JPN,16424,777,12672
Jordan,JOR,700,9,461
Kazakhstan,KAZ,7597,35,4096
Kenya,KEN,1161,50,380
"Korea, South",KOR,11142,264,10162
Kosovo,XKX,1004,29,772
Kuwait,KWT,19564,138,5515
Kyrgyzstan,KGZ,1350,14,939
Laos,LAO,19,0,14
Latvia,LVA,1030,22,712
Lebanon,LBN,1086,26,663
Lesotho,LSO,2,0,0
Liberia,LBR,249,24,136
Libya,LBY,72,3,38
Liechtenstein,LIE,82,1,55
Lithuania,LTU,1604,61,1111
Luxembourg,LUX,3981,109,3748
Madagascar,MDG,448,2,135
Malawi,MWI,82,3,28
Malaysia,MYS,7137,115,5859
Maldives,MDV,1274,4,109
Mali,MLI,969,62,560
Malta,MLT,600,6,469
Mauritania,MRT,200,6,7
Mauritius,MUS,332,10,322
Mexico,MEX,59567,6510,40152
Moldova,MDA,6847,237,3369
Monaco,MCO,97,4,90
Mongolia,MNG,141,0,28
Montenegro,MNE,324,9,314
Morocco,MAR,7332,197,4377
Mozambique,MOZ,164,0,48
Namibia,NAM,19,0,14
Nepal,NPL,516,3,70
Netherlands,NLD,45088,5807,174
New Zealand,NZL,1504,21,1455
Nicaragua,NIC,279,17,199
Niger,NER,937,60,764
Nigeria,NGA,7261,221,2007
Norway,NOR,8332,235,7727
Oman,OMN,6794,34,1821
Pakistan,PAK,50694,1067,15201
Panama,PAN,10267,295,6275
Papua New Guinea,PNG,8,0,8
Paraguay,PRY,838,11,264
Peru,PER,111698,3244,44848
Philippines,PHL,13597,857,3092
Poland,POL,20619,982,8731
Portugal,PRT,30200,1289,7590
Qatar,QAT,40481,19,7893
Romania,ROU,17712,1166,10777
Russia,RUS,317554,3099,92681
Rwanda,RWA,321,0,222
Saint Kitts and Nevis,KNA,15,0,15
Saint Lucia,LCA,18,0,18
Saint Vincent and the Grenadines,VCT,18,0,14
San Marino,SMR,661,41,254
Sao Tome and Principe,STP,251,8,4
Saudi Arabia,SAU,67719,364,39003
Senegal,SEN,2909,33,1311
Serbia,SRB,11024,237,5541
Seychelles,SYC,11,0,11
Sierra Leone,SLE,606,38,230
Singapore,SGP,30426,23,12995
Slovakia,SVK,1503,28,1256
Slovenia,SVN,1468,106,1340
Somalia,SOM,1594,61,204
South Africa,ZAF,20125,397,10104
South Sudan,SSD,563,6,6
Spain,ESP,233037,27940,150376
Sri Lanka,LKA,1068,9,620
Sudan,SDN,3378,137,372
Suriname,SUR,11,1,9
Sweden,SWE,32809,3925,4971
Switzerland,CHE,30707,1903,27900
Syria,SYR,59,4,37
Taiwan*,TWN,441,7,407
Tajikistan,TJK,2551,44,1089
Tanzania,TZA,509,21,183
Thailand,THA,3037,56,2910
Togo,TGO,363,12,121
Trinidad and Tobago,TTO,116,8,108
Tunisia,TUN,1046,47,883
Turkey,TUR,154500,4276,116111
US,USA,1577758,94729,298418
Uganda,UGA,175,0,68
Ukraine,UKR,20148,588,6585
United Arab Emirates,ARE,27892,241,13798
United Kingdom,GBR,252246,36124,1134
Uruguay,URY,753,20,603
Uzbekistan,UZB,3028,13,2492
Venezuela,VEN,882,10,262
Vietnam,VNM,324,0,266
Western Sahara,ESH,6,0,6
Yemen,YEM,209,33,11
Zambia,ZMB,920,7,336
Zimbabwe,ZWE,51,4,18
World,,5205900,337572,2054125
